month,number of days,min_temp,average pressure
1,174,-77.16091954022988,862.4885057471264
2,178,-79.93258426966293,889.4550561797753
3,192,-83.30729166666667,877.3229166666666
4,194,-82.74742268041237,806.3298969072165
5,149,-79.30872483221476,748.5570469798657
6,147,-75.29931972789116,745.0544217687075
7,142,-72.28169014084507,795.1056338028169
8,141,-68.38297872340425,873.8297872340426
9,134,-69.17164179104478,913.3059701492538
10,112,-71.98214285714286,887.3125
11,138,-71.98550724637681,857.0144927536232
12,166,-74.45180722891567,842.156626506024
